2025-06-10 23:46:55 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u3
2025-06-10 23:46:55 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 install libkeyutils1:amd64 <none> 1.6.3-2
2025-06-10 23:46:55 status half-installed libkeyutils1:amd64 1.6.3-2
2025-06-10 23:46:55 status unpacked libkeyutils1:amd64 1.6.3-2
2025-06-10 23:46:55 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u3
2025-06-10 23:46:55 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u3
2025-06-10 23:46:55 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 install libtirpc-common:all <none> 1.3.3+ds-1
2025-06-10 23:46:55 status half-installed libtirpc-common:all 1.3.3+ds-1
2025-06-10 23:46:55 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-06-10 23:46:55 install libtirpc3:amd64 <none> 1.3.3+ds-1
2025-06-10 23:46:55 status half-installed libtirpc3:amd64 1.3.3+ds-1
2025-06-10 23:46:55 status unpacked libtirpc3:amd64 1.3.3+ds-1
2025-06-10 23:46:55 install libnsl2:amd64 <none> 1.3.0-2
2025-06-10 23:46:55 status half-installed libnsl2:amd64 1.3.0-2
2025-06-10 23:46:55 status unpacked libnsl2:amd64 1.3.0-2
2025-06-10 23:46:55 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2025-06-10 23:46:55 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2025-06-10 23:46:55 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2025-06-10 23:46:55 install libnsl-dev:amd64 <none> 1.3.0-2
2025-06-10 23:46:55 status half-installed libnsl-dev:amd64 1.3.0-2
2025-06-10 23:46:55 status unpacked libnsl-dev:amd64 1.3.0-2
2025-06-10 23:46:55 install rpcsvc-proto:amd64 <none> 1.4.3-1
2025-06-10 23:46:55 status half-installed rpcsvc-proto:amd64 1.4.3-1
2025-06-10 23:46:55 status unpacked rpcsvc-proto:amd64 1.4.3-1
2025-06-10 23:46:55 install libc6-dev:amd64 <none> 2.36-9+deb12u10
2025-06-10 23:46:55 status half-installed libc6-dev:amd64 2.36-9+deb12u10
